Train Error- 0.000576	 Test Error - 0.000614
Train Error- 0.000708	 Test Error - 0.000421
Train Error- 0.001360	 Test Error - 0.003171
Train Error- 0.017103	 Test Error - 0.020358
Train Error- 0.010030	 Test Error - 0.010529
Train Error- 0.002059	 Test Error - 0.004031
Train Error- 0.000021	 Test Error - 0.000032
Train Error- 0.000021	 Test Error - 0.000032
Train Error- 0.000012	 Test Error - 0.000013
Train Error- 0.000015	 Test Error - 0.000017
Train Error- 0.000014	 Test Error - 0.000015
Train Error- 0.000011	 Test Error - 0.000009
Train Error- 0.000011	 Test Error - 0.000010
Train Error- 0.000013	 Test Error - 0.000013
Train Error- 0.000974	 Test Error - 0.000200
Train Error- 0.000637	 Test Error - 0.001525
Train Error- 0.000778	 Test Error - 0.000345
Train Error- 0.003033	 Test Error - 0.001349
Train Error- 0.011153	 Test Error - 0.018225
Train Error- 0.006509	 Test Error - 0.006191
Train Error- 0.000057	 Test Error - 0.000101
Train Error- 0.000792	 Test Error - 0.000033
Train Error- 0.000799	 Test Error - 0.000603
Train Error- 0.006529	 Test Error - 0.003367
Train Error- 0.018865	 Test Error - 0.019656
Train Error- 0.013087	 Test Error - 0.014883
Train Error- 0.004505	 Test Error - 0.001906
Train Error- 0.000020	 Test Error - 0.000036
Train Error- 0.000018	 Test Error - 0.000020
Train Error- 0.000016	 Test Error - 0.000026
Train Error- 0.000012	 Test Error - 0.000014
Train Error- 0.000012	 Test Error - 0.000013
Train Error- 0.000010	 Test Error - 0.000014
Train Error- 0.000010	 Test Error - 0.000009
Train Error- 0.000006	 Test Error - 0.000012
